267,654,GARSIDE1800-1829,20100817,1808A066,"Unknown, The",Francis LATHOM,1808,potgoth|romance,Male,,"THE UNKNOWN; OR, THE NORTHERN GALLERY. A ROMANCE. IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER, THE IMPENETRABLE SECRET, MYSTERY, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1808","3 vols (I xi, 336p, ill.; II 376p; III 362p). 12&deg;",Corvey; CME 3-628-47964-9; ECB 331; EN2 1808: 67; NSTC L546.5; OCLC 6875830,,"1826 (NSTC); French trans., 1810",LATHOM
300,737,GARSIDE1800-1829,20100817,1809A038,"Romance of the Hebrides, The",Francis LATHOM,1809,potgoth|romance,Male,,"THE ROMANCE OF THE HEBRIDES; OR, WONDERS NEVER CEASE! IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF LONDON; THE UNKNOWN; MYSTERIOUS FREEBOOTER; MYSTERY; &C","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1809","3 vols (I viii, 282p; II 288p; III 256p). 12&deg;",Corvey; CME 3-628-47963-0; EN2 1809: 40; NSTC L546; OCLC 6875795,"Preface (vol. 1, pp. [v]&ndash;viii) states: 'The period at which the following tale is supposed to have taken place, is about the middle of the thirteenth century, and the theatre of action principally the Scottish Isles'",,LATHOM
532,1486,GARSIDE1800-1829,20100817,1820A041,Italian Mysteries,Francis LATHOM,1820,potgoth|romance,Male,,"ITALIAN MYSTERIES; OR, MORE SECRETS THAN ONE. A ROMANCE. IN THREE VOLUMES. BY FRANCIS LATHOM, AUTHOR OF THE MYSTERIOUS FREEBOOTER; LONDON; THE UNKNOWN; MEN AND MANNERS; ROMANCE OF THE HEBRIDES; HUMAN BEINGS; FATAL VOW; MIDNIGHT BELL; IMPENETRABLE SECRET; MYSTERY; &C. &C","London:                     Printed at the Minerva Press for A. K. Newman and Co. Leadenhall-Street, 1820","3 vols (I vi, 246p; II 246p; III 274p). 12&deg;",Corvey; CME 3-628-47904-5; ECB 330; EN2 1820: 42; NSTC 2L5031; OCLC 6893231,"Prefatory letter to 'Mr. A. K. Newman', dated New York, 24 Oct 1819","French trans., 1823 [as <i>Les Myst&egrave;res italiens, ou le Ch«∂Ωteau della Torrida</i> (BN)]",LATHOM
48,140,GARSIDE1800-1829,20100817,1801A058,My Uncle Thomas,Guillaume Charles Antoine PIGAULT-LEBRUN,1801,potgoth|romance,Male,,MY UNCLE THOMAS. A ROMANCE. IN FOUR VOLUMES. FROM THE FRENCH OF PIGAULT LEBRUN,"London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1801",4 vols (I 264p; II 240p; III 255p; IV 257p). 12&deg;,CtY-BR Hfd29615M; ECB 335; EN2 1801: 56; xNSTC; xOCLC,"Trans. of <i>Mon oncle Thomas</i> (Paris, 1795). Some pages wanting in vol. 2",Dublin 1801 (OCLC); New York 1810 (OCLC),PIGAULT-LEBRUN
105,275,GARSIDE1800-1829,20100817,1803A058,Monsieur Botte,Guillaume Charles Antoine PIGAULT-LEBRUN,1803,potgoth|romance,Male,,"MONSIEUR BOTTE. A ROMANCE. IN THREE VOLUMES. BY PIGAULT LEBRUN. AUTHOR OF MY UNCLE THOMAS, THE BARONS OF FELSHEIM, &C. &C","London:                     Printed at the Minerva Press, for Lane and Newman, Leadenhall-Street, 1803",3 vols. 12&deg;,No copy located; ECB 335; EN2 1803: 58; xNSTC; xOCLC,"Trans. of <i>Monsieur Botte</i> (Paris, 1803). Title and imprint details from Blakey, whose entry is based on Stonehill copy. The 4-vol. 1803 edn listed by NSTC (P1729) is in French",,PIGAULT-LEBRUN
142,354,GARSIDE1800-1829,20100817,1804A058,"Barons of Felsheim, The",Guillaume Charles Antoine PIGAULT-LEBRUN,1804,potgoth|romance,Male,,"THE BARONS OF FELSHEIM. A ROMANCE. IN THREE VOLUMES. FROM THE FRENCH OF PIGAULT LEBRUN, AUTHOR OF MY UNCLE THOMAS, MONSIEUR BOTTE, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1804",3 vols (I 248p; II 271p; III 287p). 12&deg;,ViU PZ2.P534B.1804; ECB 335; EN2 1804: 56; xNSTC; OCLC 6969044,"Trans. of <i>Les Barons de Felsheim</i> (Paris, 1798)",,PIGAULT-LEBRUN
172,431,GARSIDE1800-1829,20100817,1805A060,"Polanders, the Lying Family, and the Life of my Uncle, with his Portfolio, The",Guillaume Charles Antoine PIGAULT-LEBRUN,1805,potgoth|romance,Male,,"THE POLANDERS, THE LYING FAMILY, AND THE LIFE OF MY UNCLE, WITH HIS PORTFOLIO. IN TWO VOLUMES. TRANSLATED FROM THE FRENCH OF PIGAULT LEBRUN, AUTHOR OF THE BARONS OF FELSHEIM, MONSIEUR BOTTE, MY UNCLE THOMAS, &C. &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1805",2 vols (I 260p; II 276p). 12&deg;,BL 12511.aaa.20; ECB 335; EN2 1805: 59; NSTC P1723; xOCLC,"The first title is a trans. of <i>M«∂∏tusko, ou les Polonais, in Les Cent-vingt jours, ou les quatre nouvelles</i> (Paris, 1800). 'The Lying Family' begins at vol. 1, p. [149], and is prefaced by a 'Dialogue Between the Author and the Bookseller by way of a Preface'",,PIGAULT-LEBRUN
268,677,GARSIDE1800-1829,20100817,1808A089,"Theodore; or, the Peruvians",Guillaume Charles Antoine PIGAULT-LEBRUN,1808,potgoth|romance,Male,E. W,"THEODORE; OR, THE PERUVIANS. FROM THE FRENCH OF PIGAULT LE BRUN. BY E. W","London:                     Printed for B. Crosby and Co. No. 4, Stationers-Court, Ludgate-Street, 1808",1 vol.  (160p). 8&deg;,BL 12654.i.25; ECB 335; EN2 1808: 89; NSTC P1727; xOCLC,"Trans. of <i>Th«∂∏odore, ou les P«∂∏ruviens</i> (Paris, 1800)",Philadelphia 1814 (OCLC),PIGAULT-LEBRUN
600,1653,GARSIDE1800-1829,20100817,1822A063,"Wizard Priest and the Witch, The",Quintin POYNET,1822,potgoth|romance,Male,,"THE WIZARD PRIEST AND THE WITCH. A ROMANCE. IN THREE VOLUMES. BY QUINTIN POYNET, ESQ","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1822","3 vols (I vi, 240p; II 225p; III 247p). 12&deg;",Corvey; CME 3-628-48367-0; ECB 466; EN2 1822: 63; NSTC 2P24194; xOCLC,,,POYNET
195,501,GARSIDE1800-1829,20100817,1806A054,"Mystic Sepulchre, The",John PALMER,1806,probgoth,Male,,"THE MYSTIC SEPULCHRE; OR, SUCH THINGS HAVE BEEN. A SPANISH ROMANCE. IN TWO VOLUMES. BY JOHN PALMER, AUTHOR OF THE ""HAUNTED CAVERN""&#8212;""MYSTERY OF THE BLACK TOWER""&#8212;""WORLD AS IT GOES,"" &C","London:                     Printed by J. Nichols, Earl's-Court, Leicester-Square, for W. Earle, Albemarle-Street, Piccadilly, 1806",2 vols ( I 192p; II 192p). 12&deg;,Corvey; CME 3-628-48378-6; ECB 431; EN2 1806: 55; xNSTC; xOCLC,"Dedication to 'George Ambrose Baker, Esq. of Salisbury', dated London, 20 May 1806","1807 (NSTC P177); French trans., 1810 [as <i>Le Tombeau myst«∂∏rieux, ou les Familles de H«∂∏narez et d'Almanza</i> (BN)]",PALMER
860,2147,GARSIDE1800-1829,20100817,1828A041,Montauban and the Monk Hilario,George FITZ-GEORGE,1828,?|monk,Male,,"MONTAUBAN AND THE MONK HILARIO. A LEGEND OF THE THIRTEENTH CENTURY. BY GEORGE FITZ-GEORGE, ESQ. IN THREE VOLUMES","London:                     Printed for A. K. Newman and Co., 1828","3 vols (I xxii, 327p; II 310p; III 326p). 12&deg;",Corvey; CME 3-628-47603-8; ECB 207; EN2 1828: 42; NSTC 2F7359; xOCLC,"Preface, by the Editor', vol. 1, pp. [i]&ndash;xxii., signed George Fitz-George, 10 Oct 1827. Continuous roman and arabic pagination in vol. 1, with novel proper beginning at p. [23]",,FITZ-GEORGE
616,1706,GARSIDE1800-1829,20100817,1823A034,Other Times,Thomas GASPEY,1823,?|monk,Male,,"OTHER TIMES; OR, THE MONKS OF LEADENHALL. BY THE AUTHOR OF THE LOLLARDS;&#8212;THE MYSTERY; CALTHORPE, OR FALLEN FORTUNES; &C. &C. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1823","3 vols (I viii, 294p; II 282p; III 320p). 12&deg;",Corvey; CME 3-628-48318-2; ECB 426; EN2 1823: 37; NSTC 2G3299; OCLC 13323912,Pagination in vol. 3 continues through a 3 pp. list of 'Other Works by the same Author' (text proper ends at p. 317),"German trans., 1827",GASPEY
164,409,GARSIDE1800-1829,20100817,1805A038,"Gondez, the Monk",Samuel William Henry IRELAND,1805,?|monk,Male,,"GONDEZ, THE MONK. A ROMANCE, OF THE THIRTEENTH CENTURY. IN FOUR VOLUMES. BY W. H. IRELAND, AUTHOR OF THE ABBESS, &C. &C. &C","London:                     Printed for W. Earle, Albemarle-Street, and J. W. Hucklebridge. And sold by Longman, Hurst, Rees, and Orme, Paternoster-Row. And all other Booksellers, 1805","4 vols (I xii, 204p; II iv, 228p; III v, 228p; IV iv, 228p). 12&deg;",Corvey; CME 3-628-47945-2; ECB 300; EN2 1805: 38; NSTC I433; OCLC 6830081,"Entered at Stationers' Hall' on verso of t.ps. Dedication (in verse) to 'Lumley St. George Skeffington, Esq. of Skeffington Lodge, Leicestershire'",,IRELAND
60,202,GARSIDE1800-1829,20100817,1802A046,Theodosius de Zulvin,George MOORE,1802,?|monk,Male,,"THEODOSIUS DE ZULVIN, THE MONK OF MADRID: A SPANISH TALE, DELINEATING VARIOUS TRAITS OF THE HUMAN MIND. BY GEORGE MOORE, AUTHOR OF GRASVILLE ABBEY. IN FOUR VOLUMES","London:                     Printed for G. and J. Robinson, Paternoster-Row; by S. Hamilton, Falcon-Court, Fleet-Street, 1802","4 vols (I xii, 288p; II 279p; III 268p; IV 276p). 12&deg;",Corvey; CME 3-628-48279-8; ECB 394; EN2 1802: 46; xNSTC; OCLC 6936368,"Dedication 'to the Inhabitants of the Isle of Wight', dated Tottenham Court Road, 4 June 1802. Preface contains information about the author having lived on the Isle of Wight from 1798 to Autumn 1799 and then returning to London.  For records of an impression of 1000, and payments to the author, see G. E. Bentley, jun., 'Copyright Documents in the George Robinson Archive: William Godwin and Others, 1713&ndash;1820', <i>Studies in Bibliography</i> 35 (1982), 93 and 106",,MOORE
730,1916,GARSIDE1800-1829,20100817,1825A058,"Mystery Developed, The",Martin M'DERMOT,1825,?|myst,Male,,"THE MYSTERY DEVELOPED. A NOVEL. IN THREE VOLUMES. BY MR. M'DERMOT, AUTHOR OF A CRITICAL DISSERTATION ON THE NATURE AND PRINCIPLES OF TASTE; PHILOSOPHICAL INQUIRY INTO THE SOURCES OF THE PLEASURES DERIVED FROM TRAGIC REPRESENTATIONS; THE BEAUTIES OF MODERN LITERATURE, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1825",2 vols (I 262p; II 282p; III 246p). 12&deg;,Corvey; CME 3-628-48068-X; ECB 358; EN2 1825: 57; NSTC 2M2797; xOCLC,,,DERMOT
217,540,GARSIDE1800-1829,20100817,1807A021,Convent of Notre Dame,Fran&#231;ois Guillaume DUCRAY-DUMINIL,1807,?|myst,Male,,"THE CONVENT OF NOTRE DAME: OR, JEANNETTE. IN TWO VOLUMES. BY THE AUTHOR OF A TALE OF MYSTERY, OR CELINA","London:                     Printed for Henry Colburn, (English and Foreign Circulating Library,) No. 48, Conduit Street, New Bond-Street; by S. Rousseau, Wood Street, Spa Fields, 1807","2 vols (I xv, 251p; II viii, 271p). 12&deg;",Corvey; CME 3-628-47326-8; ECB 132; EN2 1807: 21; xNSTC; OCLC 49097462,"Ducray-Duminil was the author of the French source title for <a href=""titleDetails.asp?title=1803A028""><i>A Tale of Mystery, or Celina</i></a>, as translated by Mary Meeke&mdash;see EN2 1803: 28. No French original for this present title, however, has been discovered. Dedication (of 'the novel of Jeannette') 'To the Right Honourable Lady Elizabeth Monck', signed 'By her Ladyship's Most obedient and humble Servant, The Translator and Publisher'. Notice at beginning of vols 1 and 2 announcing the circulating library of H. Colburn ('from Earle's'), at 48, Conduit Street, New Bond Street",,DUCRAY-DUMINIL
516,1472,GARSIDE1800-1829,20100817,1820A027,"Mystery; or, Forty Years Ago, The",Thomas GASPEY,1820,?|myst,Male,,"THE MYSTERY; OR, FORTY YEARS AGO. A NOVEL. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1820",3 vols (I 340p; II 323p; III 324p). 12&deg;,Corvey; CME 3-628-48184-8; ECB 403; EN2 1820: 27; NSTC 2G3297; OCLC 13323885,,"New York 1820 (NSTC); French trans., 1821",GASPEY
550,1555,GARSIDE1800-1829,20100817,1821A040,De Willenberg,J. M. H. HALES,1821,?|myst,Male,,"DE WILLENBERG; OR, THE TALISMAN. A TALE OF MYSTERY. IN FOUR VOLUMES. BY I. M. H. HALES, ESQ. AUTHOR OF THE ASTROLOGER","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1821","4 vols (I iv, 249p; II 271p; III 243p; IV 236p). 12&deg;",Corvey; CME 3-628-47591-0; ECB 250; EN2 1821: 42; NSTC 2H2238; xOCLC,,"French trans., 1827",HALES
61,212,GARSIDE1800-1829,20100817,1802A056,Monckton,James SANDS,1802,?|novel,Male,,"MONCKTON; OR, THE FATE OF ELEANOR. A NOVEL. IN THREE VOLUMES. TO WHICH IS PREFIXED, A GENERAL DEFENCE OF MODERN NOVELS. BY THE AUTHOR OF COUNT DI NOVINI","London:                     Printed for G. and J. Robinson, Pater-Noster-Row. By J. Crowder and E. Hemsted, Warwick-Square, 1802","3 vols (I xxi, 263p; II 240p; III 246p). 12&deg;",Corvey; CME 3-628-48221-6; EN2 1802: 56; NSTC S417; OCLC 3286739,"Dedication (in verse) to Sir M. W. Ridley, Bart. M.P. 'A General Defence of Modern Novels', vol. 1, pp [i]&ndash;xxi",,SANDS
165,389,GARSIDE1800-1829,20100817,1805A018,"Mysterious Visitor, The",Henry Montague CECIL,1805,?|potgoth,Male,,"THE MYSTERIOUS VISITOR; OR MARY, THE ROSE OF CUMBERLAND. A NOVEL BY HENRY MONTAGUE CECIL. IN TWO VOLUMES","London:                     Printed for Longman, Hurst, Rees, and Orme, Paternoster-Row; A. Constable and Co. Edinburgh; and by and for F. Jollie, Carlisle, 1805",2 vols (I 329p; II 379p). 12&deg;,Corvey; CME 3-628-47243-1; ECB 403; EN2 1805: 18; xNSTC; xOCLC,"Colophon of 'F. Jollie, Printer, Carlisle' in both vols. Collates in sixes","1808, as <i>The Rose of Cumberland</i> (Corvey&mdash;a reissue by the Minerva Press, with a cancel t.p. and the same colophon of F. Jollie), CME 3-628-47244-X",CECIL
421,1161,GARSIDE1800-1829,20100817,1815A018,"Invisible Hand, The",W. CLAYTON,1815,?|potgoth,Male,,THE INVISIBLE HAND. A TALE,"London:                     Printed for Cadell & Davies, in the Strand, and Hatchard, Piccadilly, 1815",1 vol.  (160p). 12&deg;,Corvey; CME 3-628-47939-8; EN2 1815: 19; NSTC I396; OCLC 21992043,"ECB 120 lists Cadell edn, 1817","2nd edn 1817 (with 'By W. Clayton' on t.p., and also containing dedication 'to Mrs. Clayton, of Highbury Place [&hellip;] by her dutiful, indebted, and affectionate son, the author' (MH 18478.7.5)); New York 1815 (OCLC)",CLAYTON
218,535,GARSIDE1800-1829,20100817,1807A016,"Monk of Udolpho, The",T. J. Horsley CURTIES,1807,?|potgoth,Male,,"THE MONK OF UDOLPHO; A ROMANCE. IN FOUR VOLUMES. BY T. J. HORSLEY CURTIES, ESQ. AUTHOR OF THE SABLE MASK, THE WATCH TOWER, SCOTTISH LEGENDS, ANCIENT RECORDS, AND ETHELWINA","London:                     Printed by D. N. Shury, 7, Berwick Street, Soho, for J. F. Hughes, Wigmore Street, Cavendish Square, 1807","4 vols (I viii, 232p; II 244p; III 265p; IV 232p). 12&deg;",O 249.s.244; ECB 391; EN2 1807: 16; NSTC C4588; OCLC 6702191,"Preface dated Chelsea Park, Little Chelsea, 20 Oct 1806",1807 (BL C.192.a.226),CURTIES
92,245,GARSIDE1800-1829,20100817,1803A028,"Tale of Mystery, A",Fran&#231;ois Guillaume DUCRAY-DUMINIL,1803,?|potgoth,Male,Mary MEEKE,"A TALE OF MYSTERY, OR CELINA. A NOVEL. IN FOUR VOLUMES. ALTERED FROM THE FRENCH OF DUCRAY-DUMINIL, BY MRS. MEEKE, AUTHOR OF WHICH IS THE MAN, THE SICILIAN, &C. &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803",4 vols (I 278p; II 323p; III 312p; IV 327p). 12&deg;,BL 1607/2020; CME 3-628-48249-6; EN2 1803: 28; NSTC D2046; OCLC 6746079,"Trans. of <i>Coelina, ou l'enfant du myst&egrave;re</i> (Paris, 1798). 'Advertisement' (1 p. unn.) states: 'it has been deemed necessary to make material alterations from the French Author [&hellip;] The two last volumes, indeed, may be considered as mere imitations of the original.' See CR review (click on link below) of <i>Celina</i> for further comments on the nature of the translation",,DUCRAY-DUMINIL
166,407,GARSIDE1800-1829,20100817,1805A036,Louisa; or the Black Tower,G. D. HERNON,1805,?|potgoth,Male,,"LOUISA; OR THE BLACK TOWER. A NOVEL, IN TWO VOLUMES. BY G. D. HERNON, ESQ","London:                     Printed for H. D. Symonds, Paternoster Row, 1805",2 vols (I 207p; II 190p). 12&deg;,Corvey; CME 3-628-47782-4; ECB 354; EN2 1805: 36; xNSTC; OCLC 6818119,"Imprint in vol. 2 differs by reading: 'Printed for W. Gordon, Circulating Libary, 357, Oxford Street, near the Pantheon'. OCLC entry gives imprint as 'Printed for W. Gordon'. Collates in sixes",,HERNON
342,916,GARSIDE1800-1829,20100817,1811A047,Rhydisel,Anthony Gregory JOHNSTONE,1811,?|potgoth,Male,,RHYDISEL. THE DEVIL IN OXFORD. IN TWO VOLUMES,"London:                     Printed for the Author; and sold by Sherwood, Neely, and Jones, Paternoster-Row, 1811","2 vols (I xii, 256p; II iv, 318p). 12&deg;","O G.A.Oxon.8<sup>o</sup> 88,89; ECB 491; EN2 1811: 47; NSTC J844; OCLC 5523818","ECB dates c. 1830, probably in error. Author attribution from the Bodleian catalogue, which is repeated in NSTC; Wolff (Item 7556) and OCLC treat as anonymous",,JOHNSTONE
288,735,GARSIDE1800-1829,20100817,1809A036,Leontina,August Friedrich Ferdinand von KOTZEBUE,1809,?|potgoth,Male,,LEONTINA: A NOVEL. IN THREE VOLUMES. BY AUGUSTUS VON KOTZEBUE. TRANSLATED FROM THE GERMAN,"London:                     Printed for Henry Colburn, Conduit-Street, New Bond-Street, 1809",3 vols (I 212p; II 234p; III 216p). 12&deg;,C Rom.3.53; EN2 1809: 38; NSTC 902; OCLC 12948552,"Trans. of <i>Leontine</i> (Riga, 1808)",,KOTZEBUE
551,1570,GARSIDE1800-1829,20100817,1821A055,"Irish Necromancer, The",Thomas Henry MARSHAL,1821,?|potgoth,Male,,"THE IRISH NECROMANCER; OR, DEER PARK. A NOVEL. IN THREE VOLUMES. BY THOMAS HENRY MARSHAL","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1821",3 vols (I 250p; II 243p; III 225p). 12&deg;,Corvey; CME 3-628-48092-2; ECB 300; EN2 1821: 59; NSTC 2M16082; OCLC 13335248,,"French trans., 1824; German trans., 1824 [as <i>Der irl&auml;ndische Schwarzk&uuml;nstler und die Giftmischerin</i> (RS)]",MARSHAL
219,562,GARSIDE1800-1829,20100817,1807A043,"Demon of Sicily, The",Edward MONTAGUE,1807,?|potgoth,Male,,"THE DEMON OF SICILY. A ROMANCE, IN FOUR VOLUMES, BY EDWARD MONTAGUE ESQ. AUTHOR OF LEGENDS OF A NUNNERY, THE CASTLE OF BERRY POMEROY, &C. &C. &C","London:                     Printed for J. F. Hughes, Wigmore Street, Cavendish Square, 1807",4 vols (I 260p; II 216p; III 256p; IV 264p). 12&deg;,O 249.s.404-407; ECB 392; EN2 1807: 44; NSTC M2913; OCLC 13346760,"Vol. 4 t.p. mistakenly reads 'Volume the First', which is corrected in hand in the Bodleian copy",1808 (OCLC); 1830? (NSTC),MONTAGUE
220,563,GARSIDE1800-1829,20100817,1807A044,"Legends of a Nunnery, The",Edward MONTAGUE,1807,?|potgoth,Male,,"THE LEGENDS OF A NUNNERY. A ROMANCE. IN FOUR VOLUMES. BY EDWARD MONTAGUE, ESQ. AUTHOR OF ""THE CASTLE OF BERRY POMEROY.""","London:                     Printed by J. Dennet, Leather Lane, for J. F. Hughes, Wigmore Street, Cavendish Square, 1807",4 vols (I 238p; II 234p; III 218p; IV 257p). 12&deg;,BL 1154.i.11; ECB 392; EN2 1807: 45; NSTC M2914; xOCLC,,,MONTAGUE
93,265,GARSIDE1800-1829,20100817,1803A048,D'Aveyro,F&#233;lix Louis Christophe MONTJOIE,1803,?|potgoth,Male,,"D'AVEYRO; OR, THE HEAD IN THE GLASS CAGE: A NOVEL. BY F. L. C. MONTJOYE, AUTHOR OF THE ""HISTOIRE DES QUATRE ESPAGNOLS."" TRANSLATED FROM THE FRENCH","London:                     Printed by J. Cundee, Ivy-Lane, for M. Jones, Paternoster-Row, 1803","4 vols (I ix, 242p; II 268p; III 215p; IV 223p). 12&deg;",ViU PZ2.M65D.1803; ECB 153; EN2 1803: 48; xNSTC; OCLC 6949844,"Trans. of <i>Histoire de la conjuration de Maximilien Robespierre</i> (Paris, 1794)? Drop-head title reads 'D'Aveyro; or, the Italian Manuscript'. The last two pages of vol. 4 are both numbered 222; on verso of the second of these begins advs (3pp. unn.) of 'Books published by T. Ostell, Ave-Maria Lane'. ECB gives subtitle as 'or, the Man in the glass cage', and publisher as Ostell, Mar 1803",,MONTJOIE
94,266,GARSIDE1800-1829,20100817,1803A049,Mount Pausillyppo,F&#233;lix Louis Christophe MONTJOIE,1803,?|potgoth,Male,,"MOUNT PAUSILLYPPO; OR, A MANUSCRIPT FOUND AT THE TOMB OF VIRGIL","London:                     Symonds, 1803",5 vols. 12&deg;,No copy located; ECB 393; EN2 1803: 49; xNSTC; xOCLC,"Trans. of <i>Manuscrit trouv«∂∏ au mont Pausilype</i> (Paris, 1802). Title details mainly from ECB",,MONTJOIE
801,2080,GARSIDE1800-1829,20100817,1827A054,"Epicurean, The",Thomas MOORE,1827,?|potgoth,Male,,"THE EPICUREAN, A TALE. BY THOMAS MOORE","London:                     Printed for Longman, Rees, Orme, Brown, and Green, Paternoster-Row, 1827","1 vol.  (vii, 332p). 12&deg;",BL 634.e.1; ECB 394; EN2 1827: 53; NSTC 2M35206; OCLC 2037409,Dedication to Lord John Russell,"2nd edn 1827 (Corvey), CME 3-628-48287-9; 3rd edn 1827 (NSTC); 4th edn 1827 (NSTC); 5th edn 1828 (NSTC); 6th edn 1831 (NSTC); [at least 2 more edns to 1850]; Boston 1827 (OCLC) [also Philadelphia 1827 (OCLC)]; French trans., 1827 [as <i>L'«∂_picurien, ou la vierge de Memphis</i> (CCFR)]; German trans., 1828",MOORE
517,1498,GARSIDE1800-1829,20100817,1820A053,"Wharbroke Legend, The",Abel MOYSEY,1820,?|potgoth,Male,,"THE WHARBROKE LEGEND: A TALE OF THE DEAD. BY ALBERT MARMACOPT, LATE OF COPT HALL, ESQ., F.S.A. IN TWO VOLUMES","London:                     Printed for Ogle, Duncan, and Co. 37, Paternoster Row, and 295, Holborn; and Ogle, Allardice, and Thomson, Edinburgh, 1820","2 vols (I vii, 351p; II 359p). 12&deg;",Corvey; CME 3-628-48158-9; ECB 632; EN2 1820: 54; NSTC 2M14772; OCLC 6950196,"To the Editor of a Former Publication, entitled ""Tales of the Dead!""', signed Albert Marmacopt",,MOYSEY
435,1245,GARSIDE1800-1829,20100817,1816A049,Headlong Hall,Thomas Love PEACOCK,1816,?|potgoth,Male,,HEADLONG HALL,"London:                     Printed for T. Hookham, jun. and Co. Old Bond Street, 1816",1 vol.  (216p). 12&deg;,BL N.1687; ECB 260; EN2 1816: 49; NSTC 2P8172; OCLC 18891180,,2nd edn 1816 (NSTC); 3rd edn 1822 (NSTC); 1837 (NSTC); Philadelphia 1816 (NSTC),PEACOCK
20,61,GARSIDE1800-1829,20100817,1800A061,"Cavern of Strozzi, The",Jean Baptiste Joseph REGNAULT-WARIN,1800,?|potgoth,Male,,THE CAVERN OF STROZZI. A VENETIAN TALE,"London:                     William Lane, 1800",1 vol.  12&deg;,No copy of 1st edn located; EN2 1800: 62; xESTC; xOCLC,"Trans. of <i>La Caverne de Strozzi</i> (Paris, 1798). Details mainly from Blakey (copy not seen). OCLC 34315324 describes a 38pp. version published in London by Burkett and Plumpton, 1800; but this is presumably different from the 1-vol. edn published by Lane, reviewed by CR in Mar 1801, where the price is cited as 3s 6d sewed",New York 1801 (OCLC),REGNAULT-WARIN
518,1509,GARSIDE1800-1829,20100817,1820A064,Coincidence,Paul SEBRIGHT,1820,?|potgoth,Male,,"COINCIDENCE; OR, THE SOOTHSAYER. A NOVEL. IN THREE VOLUMES. BY PAUL SEBRIGHT","London:                     Printed at the Minerva Press for A. K. Newman and Co. Leadenhall-Street, 1820",3 vols (I 243p; II 247p; III 284p). 12&deg;,Corvey; CME 3-628-48629-7; ECB 524; EN2 1820: 65; NSTC 2S12005; xOCLC,,,SEBRIGHT
658,1844,GARSIDE1800-1829,20100817,1824A085,Ad&#233;le,Paul SEBRIGHT,1824,?|potgoth,Male,,"AD&#201;LE; OR, THE TOMB OF MY MOTHER. A NOVEL. IN FOUR VOLUMES. BY PAUL SEBRIGHT, AUTHOR OF COINCIDENCE, OR THE SOOTHSAYER, &C. &C","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1824","4 vols (I vi, 246p; II 289p; III 299p; IV 274p). 12&deg;",Corvey; CME 3-628-48628-9; ECB 524; EN2 1824: 86; NSTC 2S12004; xOCLC,Preface dated 1 Dec 1823,,SEBRIGHT
255,681,GARSIDE1800-1829,20100817,1808A093,Asmodeus,Charles SEDLEY,1808,?|potgoth,Male,,"ASMODEUS; OR, THE DEVIL IN LONDON: A SKETCH. IN THREE VOLUMES. BY THE AUTHOR OF ""THE FARO TABLE,"" ""A WINTER IN DUBLIN,"" &C. &C. &C","London:                     Printed by J. Dean, 57, Wardour Street, Soho. For J. F. Hughes, 15, Paternoster-Row, & 5, Wigmore Street, Cavendish Square, 1808","3 vols (I xiii, 192p; II 206p; III 213p). 12&deg;",Corvey; CME 3-628-47076-5; EN2 1808: 96; NSTC S1059; OCLC 52839258,"Preface, signed 'the Author', and dated London, Apr 1808. For possible identification of the almost certainly pseudonymous Sedley, see <a href=""../guide/update4.html"">EN2 Update 4</a>",,SEDLEY
21,67,GARSIDE1800-1829,20100817,1800A067,Mary-Jane,Richard SICKELMORE,1800,?|potgoth,Male,,"MARY-JANE. A NOVEL. IN TWO VOLUMES. BY RICHARD SICKELMORE, AUTHOR OF EDGAR, OR THE PHANTOM OF THE CASTLE, AGNES AND LEONORA; &C. &C","London:                     Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall Street, 1800","2 vols (I 229p, ill.; II 235p). 12&deg;",Corvey; CME 3-628-48691-2; EM 7474: 1; EN2 1800: 68; ESTC t127132; OCLC 7073699,"Dedication to Sir Godfrey Webster, Bart. signed by Richard Sickelmore",,SICKELMORE
